,PRECIO_UNITARIO,COSTO_UNITARIO,COSTO_UNITARIO_CALCULADO,MARGEN_TOTAL_CALCULADO
0,434.48,52.8,52.8,381.68
1,1264.05,327.18,327.18,936.87
2,551.61,177.68,177.68,2617.56
3,140.0,38.96,38.96,101.04
4,172.41,101.71,101.71,141.41
5,237.07,49.41,49.41,375.32
6,14000.0,5323.76,5323.76,8676.24
7,94.5,38.96,38.96,166.62
8,1615.0,517.89,517.89,1097.11
9,1615.0,517.89,517.89,1097.11
10,1615.0,517.89,517.89,1097.11
11,1615.0,0.0,586.32,1028.68
12,1615.0,0.0,586.32,1028.68
13,1485.25,0.0,86.22,1399.03
14,2095.25,0.0,742.05,1353.2
15,192.5,51.73,149.6,84.17
16,771.28,124.0,124.0,1294.56
17,125.0,0.0,141.9,-50.69
18,821.3,0.0,78.7,3713.02
19,821.3,0.0,75.77,5218.69
20,496.35,27.43,27.43,1406.76
21,938.53,147.76,147.76,2372.32
22,718.52,259.35,259.35,459.17
23,898.25,332.65,332.65,565.6
24,1500.0,0.36,0.36,2999.28
25,1848.0,1081.89,1081.89,2298.34
26,485.0,124.0,124.0,1805.0
27,375.0,44.14,44.14,1985.17
28,2005.46,489.39,489.39,3032.15
29,1299.32,305.44,305.44,29816.42
30,856.04,295.24,295.24,3364.8
31,1299.32,305.44,305.44,29816.42
32,601.23,178.6,178.6,422.63
33,150.5,68.95,68.95,815.55
34,215.96,78.32,78.32,1376.36
35,382.1,5.76,5.76,376.34
36,485.23,45.01,45.01,440.22
37,945.0,289.05,289.05,655.95
38,259.6,64.85,64.85,7789.83
39,938.53,0.0,161.73,776.8
40,12720.0,0.0,1509.14,33632.58
41,619.21,101.71,101.71,4657.47
42,505.08,0.0,81.91,4231.66
43,1328.0,0.0,497.54,6643.69
44,599.05,0.0,98.76,1000.59
45,803.0,140.29,140.29,662.71
46,785.25,181.88,181.88,1206.75
47,615.85,249.89,249.89,731.93
48,385.2,48.56,48.56,1346.56
49,2150.0,0.0,195.26,1954.74
50,531.0,85.29,85.29,2228.53
51,385.0,220.0,220.0,165.0
52,500.0,211.36,211.36,288.64
53,835.5,242.48,242.48,1186.05
54,895.5,235.56,235.56,1319.87
55,1264.25,0.0,319.8,944.45
56,1264.25,0.0,313.8,950.45
57,605.0,44.7,44.7,2241.2
58,337.7,4.02,4.02,333.68
59,558.14,69.23,69.23,977.82
60,558.14,69.23,69.23,977.82
61,1412.0,556.14,556.14,2567.58
62,1188.0,447.68,447.68,2220.95
63,663.0,95.82,95.82,3403.09
64,495.8,158.4,158.4,674.8
65,2177.5,272.65,272.65,15238.78
66,505.23,161.63,161.63,687.21
67,985.1,105.68,105.68,3517.68
68,2644.28,0.0,795.74,7394.17
69,522.0,51.38,51.38,941.24
70,255.01,291.72,291.72,-36.71
71,551.25,0.0,240.87,3103.83
72,364.55,52.48,52.48,312.07
73,662.0,139.82,139.82,522.18
74,1475.3,275.5,275.5,35994.05
75,999.91,200.3,200.3,2398.82
76,1450.0,372.67,372.67,10773.27
77,1450.0,360.5,360.5,6537.02
78,1450.0,337.97,337.97,6672.21
79,415.0,113.47,113.47,2412.27
80,272.0,77.13,77.13,1948.71
81,1025.87,0.0,115.58,1820.59
82,1587.25,0.0,165.19,2844.11
83,2985.36,0.0,385.71,5199.3
84,566.64,85.89,85.89,480.75
85,431.5,95.96,95.96,4026.44
86,528.3,131.65,131.65,4759.85
87,1880.28,0.0,292.75,1587.53
88,150.0,71.25,71.25,1574.98
89,98.0,38.96,38.96,59.04
90,830.25,363.33,363.33,1400.75
91,473.28,27.08,27.08,446.2
92,1659.6,436.54,436.54,1223.06
93,107.76,38.96,38.96,68.8
94,499.0,113.22,113.22,385.78
95,900.0,0.0,247.52,1957.43
96,1189.0,0.0,160.03,3086.92
97,1435.0,0.0,369.59,3196.22
98,495.0,0.0,67.42,855.16
99,125.0,71.25,71.25,53.75
100,175.0,75.89,75.89,99.11
101,2625.5,0.0,1214.3,2822.4
102,2464.2,1041.08,1041.08,2846.25
103,2068.5,1298.68,1298.68,1539.64
104,925.6,0.0,387.87,537.73
105,1517.63,435.3,435.3,1082.33
106,498.85,0.0,24.38,1897.88
107,2629.5,167.3,167.3,2462.2
108,535.09,104.4,104.4,430.69
109,1195.84,0.0,336.57,1718.56
110,1572.45,0.0,647.84,924.61
111,2375.5,0.0,436.05,7757.81
112,2080.85,0.0,449.35,3263.0
113,2118.0,0.0,406.61,1711.39
