NOMBRE_CLIENTE,MARGEN_TOTAL_CALCULADO
PÚBLICO EN GENERAL,381.68
PÚBLICO EN GENERAL,141.41
PÚBLICO EN GENERAL,375.32
PÚBLICO EN GENERAL,2241.2
PÚBLICO EN GENERAL,941.24
PÚBLICO EN GENERAL,2398.82
PÚBLICO EN GENERAL,480.75
PÚBLICO EN GENERAL,446.2
PÚBLICO EN GENERAL,1223.06
PÚBLICO EN GENERAL,68.8
PÚBLICO EN GENERAL,2270.16
PÚBLICO EN GENERAL,1437.95
PÚBLICO EN GENERAL,3193.27
PÚBLICO EN GENERAL,1182.21
PÚBLICO EN GENERAL,488.51
PÚBLICO EN GENERAL,230.38
PÚBLICO EN GENERAL,849.67
PÚBLICO EN GENERAL,824.79
PÚBLICO EN GENERAL,161.74
PÚBLICO EN GENERAL,653.35
PÚBLICO EN GENERAL,576.24
PÚBLICO EN GENERAL,301.0
PÚBLICO EN GENERAL,245.28
PÚBLICO EN GENERAL,583.35
PÚBLICO EN GENERAL,1714.24
PÚBLICO EN GENERAL,1350.55
PÚBLICO EN GENERAL,533.99
PÚBLICO EN GENERAL,298.24
PÚBLICO EN GENERAL,987.6
PÚBLICO EN GENERAL,67.21
PÚBLICO EN GENERAL,3984.95
PÚBLICO EN GENERAL,4267.36
PÚBLICO EN GENERAL,126.37
PÚBLICO EN GENERAL,297.27
PÚBLICO EN GENERAL,1806.6
PÚBLICO EN GENERAL,467.22
PÚBLICO EN GENERAL,167.59
PÚBLICO EN GENERAL,733.01
PÚBLICO EN GENERAL,799.61
PÚBLICO EN GENERAL,719.74
PÚBLICO EN GENERAL,143.51
PÚBLICO EN GENERAL,1333.73
PÚBLICO EN GENERAL,475.41
PÚBLICO EN GENERAL,3840.62
PÚBLICO EN GENERAL,789.87
PÚBLICO EN GENERAL,255.2
PÚBLICO EN GENERAL,2206.69
PÚBLICO EN GENERAL,395.73
PÚBLICO EN GENERAL,753.73
PÚBLICO EN GENERAL,1166.49
PÚBLICO EN GENERAL,1168.31
PÚBLICO EN GENERAL,1258.01
PÚBLICO EN GENERAL,569.47
PÚBLICO EN GENERAL,1186.02
PÚBLICO EN GENERAL,470.89
PÚBLICO EN GENERAL,775.35
PÚBLICO EN GENERAL,293.2
PÚBLICO EN GENERAL,603.56
PÚBLICO EN GENERAL,167.59
PÚBLICO EN GENERAL,418.0
PÚBLICO EN GENERAL,7520.42
PÚBLICO EN GENERAL,973.25
PÚBLICO EN GENERAL,815.49
PÚBLICO EN GENERAL,5011.1
PÚBLICO EN GENERAL,455.09
PÚBLICO EN GENERAL,1093.74
PÚBLICO EN GENERAL,-495.82
PÚBLICO EN GENERAL,868.94
PÚBLICO EN GENERAL,758.67
PÚBLICO EN GENERAL,3832.72
PÚBLICO EN GENERAL,1103.54
PÚBLICO EN GENERAL,166.51
PÚBLICO EN GENERAL,885.86
PÚBLICO EN GENERAL,1476.66
PÚBLICO EN GENERAL,1265.45
PÚBLICO EN GENERAL,968.28
PÚBLICO EN GENERAL,558.07
PÚBLICO EN GENERAL,2214.65
PÚBLICO EN GENERAL,184.09
PÚBLICO EN GENERAL,1107.63
PÚBLICO EN GENERAL,71.8
PÚBLICO EN GENERAL,3758.32
PÚBLICO EN GENERAL,467.55
PÚBLICO EN GENERAL,3056.77
PÚBLICO EN GENERAL,399.02
PÚBLICO EN GENERAL,600.41
PÚBLICO EN GENERAL,1080.26
PÚBLICO EN GENERAL,1244.62
PÚBLICO EN GENERAL,257.4
PÚBLICO EN GENERAL,420.07
PÚBLICO EN GENERAL,462.44
PÚBLICO EN GENERAL,6387.73
PÚBLICO EN GENERAL,352.4
PÚBLICO EN GENERAL,829.0
